id,original_title,chinese_title,back_translation,similarity,vote_count,LFT_R1,LFT_R2,Unnamed: 8,AEATT_R1,AEATT_R2,Unnamed: 11
210577,Gone Girl,消失的女孩,The Disappeared Girl,0.4137931034482759,5862,1.0,0.0,,0.0,0.0,
87827,Life of Pi,少年派的奇幻漂流,The Fantastic Drift of Pi's Youth,0.3720930232558139,5797,2.0,2.0,,0.0,0.0,
75656,Now You See Me,谜影重重,Multiple Shadows,0.2,5487,3.0,3.0,,-1.0,-1.0,
862,Toy Story,玩具总动员,Toy Mobilization,0.48,5269,2.0,1.0,,0.0,0.0,
75612,Oblivion,遗忘星球,Forgotten Planet,0.1666666666666666,4800,2.0,2.0,,0.0,0.0,
82693,Silver Linings Playbook,乌云背后的幸福线索,The Clues of Happiness Behind the Dark Clouds,0.2941176470588235,4742,3.0,2.0,,0.0,0.0,
264660,Ex Machina,机械姬,Mechanical Maiden,0.3703703703703703,4737,2.0,1.0,,0.0,0.0,
59967,Looper,未来战警,Future Police,0.2105263157894737,4697,3.0,3.0,,0.0,1.0,
82690,Wreck-It Ralph,无敌破坏王,Invincible Wrecking King,0.3157894736842105,4570,2.0,2.0,,0.0,0.0,
102651,Maleficent,沉睡魔咒,Sleeping Curse,0.3333333333333334,4496,3.0,3.0,,0.0,0.0,
206647,Spectre,007：幽灵党,007: Ghost Party,0.1739130434782609,4466,2.0,2.0,,0.0,0.0,
752,V for Vendetta,刺客教條,Assassin's Creed,0.2666666666666667,4442,3.0,3.0,,1.0,1.0,
1124,The Prestige,致命魔术,Fatal Magic,0.1739130434782609,4391,3.0,3.0,,-1.0,0.0,
2062,Ratatouille,美食总动员,Food Total Mobilization,0.2941176470588235,4369,2.0,2.0,,0.0,0.0,
8681,Taken,特种部队,Special Forces,0.2105263157894737,4369,3.0,3.0,,1.0,1.0,
