id,original_title,chinese_title
44115,127 Hours,127小时
81005,Jack the Giant Slayer,巨人杀手
1979,4: Rise of the Silver Surfer,银影侠4：银色冲击波
296098,Bridge of Spies,间谍之桥
188927,Star Trek Beyond,星际迷航：超越星辰
76492,Hotel Transylvania,魔鬼酒店
296096,Me Before You,那些年，我们一起追的女孩
50620,The Twilight Saga: Breaking Dawn - Part 2,暮光之城：破晓-下篇
256591,Focus,瞄准
578,Jaws,大白鲨
103,Taxi Driver,的士司機
82700,After Earth,地球之后
8909,Wanted,无间道
1402,The Pursuit of Happyness,追求快乐
257344,Pixels,像素
277,Underworld,黑夜传说
217,Indiana Jones and the Kingdom of the Crystal Skull,印第安纳琼斯与水晶骷髅王国
47933,Independence Day: Resurgence,独立日：卷土重来
330,The Lost World: Jurassic Park,迷失世界：侏罗纪公园
44912,Green Lantern,绿灯侠
95,Armageddon,世界末日
854,The Mask,面具
333371,10 Cloverfield Lane,Cloverfield Lane
534,Terminator Salvation,终结者：救赎
214756,Ted 2,NotSure
109424,Captain Phillips,船长菲利普斯
641,Requiem for a Dream,梦之安魂曲
50646,"Crazy, Stupid, Love.",疯狂愚蠢的爱
70,Million Dollar Baby,百万美元宝贝
51497,Fast Five,速度与激情5
18239,The Twilight Saga: New Moon,暮光之城：新月
37686,Super 8,超级8
65754,The Girl with the Dragon Tattoo,龙纹身的女孩
258489,The Legend of Tarzan,泰山传奇
158015,The Purge,清洗
747,Shaun of the Dead,活死人之夜
273481,Sicario,毒枭
87502,Flight,飞行
771,Home Alone,NotSure
49519,The Croods,克鲁德一家
53182,300: Rise of an Empire,300：帝国崛起
772,Home Alone 2: Lost in New York,寻宝奇兵2：纽约大冒险
435,The Day After Tomorrow,后天
49017,Dracula Untold,德古拉：传奇再现
150689,Cinderella,灰姑娘
109414,This Is the End,世界末日
86834,Noah,诺亚
97020,RoboCop,机械战警
324668,Jason Bourne,杰森·伯恩
254,King Kong,金刚
74,War of the Worlds,世界大战
539,Psycho,心理游戏
10625,Mean Girls,NotSure
62213,Dark Shadows,黑暗阴影
9543,Prince of Persia: The Sands of Time,波斯王子：时之沙 (Bōsī Wángzǐ: Shí zhī Shā)
57201,The Lone Ranger,孤胆特工
228967,The Interview,访问 (Fǎngwèn)
9487,A Bug's Life,超级宝贝
80274,Ender's Game,安德的游戏
137,Groundhog Day,重返狂野
24021,The Twilight Saga: Eclipse,暮光之城：月蝕
2105,American Pie,美国派
157353,Transcendence,超验骇客
1372,Blood Diamond,血钻
166424,Fantastic Four,超凡四侠
810,Shrek the Third,史瑞克三世
51540,Horrible Bosses,不知道
96721,Rush,极速风流
8355,Ice Age: Dawn of the Dinosaurs,冰河世纪3: 恐龙的黎明
225574,Non-Stop,非常人质
68735,Warcraft,魔兽
203801,The Man from U.N.C.L.E.,特务风云
35,The Simpsons Movie,辛普森家庭大电影
22970,The Cabin in the Woods,诡屋惊魂
7191,Cloverfield,NotSure
114150,Pitch Perfect,歌喉讚
7326,Juno,朱诺
223702,Sausage Party,食物狂歡趴 (Shíwù Kuáng Huān Pā)
50544,Friends with Benefits,NotSure
18823,Clash of the Titans,泰坦之战
1487,Hellboy,地狱男爵
59859,Kick-Ass 2,不可思议的英雄2
37735,Easy A,超级名模
1734,The Mummy Returns,木乃伊归来
260346,Taken 3,96小时3：生死时速
4638,Hot Fuzz,超级警察
1995,Lara Croft: Tomb Raider,古墓丽影
176,Saw,电锯惊魂
328387,Nerve,极限挑战
46195,Rio,里约大冒险
20504,The Book of Eli,以利之书
296,Terminator 3: Rise of the Machines,终结者3：机器的崛起
43074,Ghostbusters,捉鬼敢死队
44826,Hugo,雨果
13448,Angels & Demons,天使与魔鬼
22538,Scott Pilgrim vs. the World,斯科特·皮尔格林对世界
49529,John Carter,约翰·卡特
163,Ocean's Twelve,十二罗汉
44833,Battleship,水雷战
1824,50 First Dates,我不确定
